"SkillName","CanonicalSource","VariantCount","AvailableSources"
"commit","antigravity-claude","2","antigravity-claude;antigravity-codex"
"competitive-landscape","antigravity-claude","2","antigravity-claude;antigravity-codex"
"competitor-alternatives","antigravity-claude","2","antigravity-claude;antigravity-codex"
"comprehensive-review-full-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"comprehensive-review-pr-enhance","antigravity-claude","2","antigravity-claude;antigravity-codex"
"computer-use-agents","antigravity-claude","2","antigravity-claude;antigravity-codex"
"computer-vision-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"concise-planning","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-implement","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-manage","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-new-track","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-revert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-setup","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-status","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conductor-validator","antigravity-claude","2","antigravity-claude;antigravity-codex"
"confluence-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"constant-time-analysis","antigravity-claude","2","antigravity-claude;antigravity-codex"
"content-creator","antigravity-claude","2","antigravity-claude;antigravity-codex"
"content-marketer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"content-strategy","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context7-auto-research","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-agent","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-compression","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-degradation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-driven-development","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-fundamentals","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-guardian","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-management-context-restore","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-management-context-save","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-manager","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-optimization","antigravity-claude","2","antigravity-claude;antigravity-codex"
"context-window-management","antigravity-claude","2","antigravity-claude;antigravity-codex"
"conversation-memory","antigravity-claude","2","antigravity-claude;antigravity-codex"
"convertkit-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"convex","antigravity-claude","2","antigravity-claude;antigravity-codex"
"copilot-sdk","antigravity-claude","2","antigravity-claude;antigravity-codex"
"copy-editing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"copywriting","antigravity-claude","2","antigravity-claude;antigravity-codex"
"copywriting-psychologist","antigravity-claude","2","antigravity-claude;antigravity-codex"
"core-components","antigravity-claude","2","antigravity-claude;antigravity-codex"
"cost-optimization","antigravity-claude","2","antigravity-claude;antigravity-codex"
"cpp-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"c-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"cqrs-implementation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"create-branch","antigravity-claude","2","antigravity-claude;antigravity-codex"
"create-issue-gate","antigravity-claude","2","antigravity-claude;antigravity-codex"
"create-pr","antigravity-claude","2","antigravity-claude;antigravity-codex"
"cred-omega","antigravity-claude","2","antigravity-claude;antigravity-codex"
"crewai","antigravity-claude","2","antigravity-claude;antigravity-codex"
"crypto-bd-agent","antigravity-claude","2","antigravity-claude;antigravity-codex"
"csharp-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"customer-psychographic-profiler","antigravity-claude","2","antigravity-claude;antigravity-codex"
"customer-support","antigravity-claude","2","antigravity-claude;antigravity-codex"
"customs-trade-compliance","antigravity-claude","2","antigravity-claude;antigravity-codex"
"daily","antigravity-claude","2","antigravity-claude;antigravity-codex"
"daily-gift","antigravity-claude","2","antigravity-claude;antigravity-codex"
"daily-news-report","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-admin","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-cloud-optimization-cost-optimize","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-design","current-bundle","3","current-bundle;antigravity-claude;antigravity-codex"
"database-migration","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-migrations-migration-observability","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-migrations-sql-migrations","antigravity-claude","2","antigravity-claude;antigravity-codex"
"database-optimizer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"datadog-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-engineer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-engineering-data-driven-feature","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-engineering-data-pipeline","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-quality-frameworks","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-scientist","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-storytelling","antigravity-claude","2","antigravity-claude;antigravity-codex"
"data-structure-protocol","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dbos-golang","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dbos-python","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dbos-typescript","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dbt-transformation-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ddd-context-mapping","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ddd-strategic-design","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ddd-tactical-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"debug-buttercup","antigravity-claude","2","antigravity-claude;antigravity-codex"
"debugger","antigravity-claude","2","antigravity-claude;antigravity-codex"
"debugging-strategies","antigravity-claude","2","antigravity-claude;antigravity-codex"
"debugging-toolkit-smart-debug","antigravity-claude","2","antigravity-claude;antigravity-codex"
"deep-research","antigravity-claude","2","antigravity-claude;antigravity-codex"
"defi-protocol-templates","antigravity-claude","2","antigravity-claude;antigravity-codex"
"defuddle","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dependency-management-deps-audit","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dependency-upgrade","antigravity-claude","2","antigravity-claude;antigravity-codex"
"deployment-engineer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"deployment-pipeline-design","antigravity-claude","2","antigravity-claude;antigravity-codex"
"deployment-procedures","current-bundle","3","current-bundle;antigravity-claude;antigravity-codex"
"deployment-validation-config-validate","antigravity-claude","2","antigravity-claude;antigravity-codex"
"design-md","antigravity-claude","2","antigravity-claude;antigravity-codex"
"design-orchestration","antigravity-claude","2","antigravity-claude;antigravity-codex"
"design-spells","antigravity-claude","2","antigravity-claude;antigravity-codex"
"design-taste-frontend","antigravity-claude","2","antigravity-claude;antigravity-codex"
"devcontainer-setup","antigravity-claude","2","antigravity-claude;antigravity-codex"
"development","antigravity-claude","2","antigravity-claude;antigravity-codex"
"devops-deploy","antigravity-claude","2","antigravity-claude;antigravity-codex"
"devops-troubleshooter","antigravity-claude","2","antigravity-claude;antigravity-codex"
"differential-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"discord-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"discord-bot-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dispatching-parallel-agents","superpowers","3","superpowers;antigravity-claude;antigravity-codex"
"distributed-debugging-debug-trace","antigravity-claude","2","antigravity-claude;antigravity-codex"
"distributed-tracing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"django-access-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"django-perf-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"django-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"doc-coauthoring","current-bundle","4","current-bundle;main;antigravity-claude;antigravity-codex"
"docker-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"docs-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"documentation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"documentation-generation-doc-generate","antigravity-claude","2","antigravity-claude;antigravity-codex"
"documentation-templates","current-bundle","3","current-bundle;antigravity-claude;antigravity-codex"
"docusign-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"docx-official","antigravity-claude","2","antigravity-claude;antigravity-codex"
"domain-driven-design","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dotnet-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dotnet-backend","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dotnet-backend-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"drizzle-orm-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dropbox-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dwarf-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"dx-optimizer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"e2e-testing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"e2e-testing-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"earllm-build","antigravity-claude","2","antigravity-claude;antigravity-codex"
"electron-development","antigravity-claude","2","antigravity-claude;antigravity-codex"
"elixir-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"elon-musk","antigravity-claude","2","antigravity-claude;antigravity-codex"
"email-sequence","antigravity-claude","2","antigravity-claude;antigravity-codex"
"email-systems","antigravity-claude","2","antigravity-claude;antigravity-codex"
"embedding-strategies","antigravity-claude","2","antigravity-claude;antigravity-codex"
"emblemai-crypto-wallet","antigravity-claude","2","antigravity-claude;antigravity-codex"
"emergency-card","antigravity-claude","2","antigravity-claude;antigravity-codex"
"emotional-arc-designer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"employment-contract-templates","antigravity-claude","2","antigravity-claude;antigravity-codex"
"energy-procurement","antigravity-claude","2","antigravity-claude;antigravity-codex"
"enhance-prompt","antigravity-claude","2","antigravity-claude;antigravity-codex"
"environment-setup-guide","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-debugging-error-analysis","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-debugging-error-trace","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-debugging-multi-agent-review","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-detective","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-diagnostics-error-analysis","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-diagnostics-error-trace","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-diagnostics-smart-debug","antigravity-claude","2","antigravity-claude;antigravity-codex"
"error-handling-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ethical-hacking-methodology","antigravity-claude","2","antigravity-claude;antigravity-codex"
"evaluation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"event-sourcing-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"event-store-design","antigravity-claude","2","antigravity-claude;antigravity-codex"
"evolution","antigravity-claude","2","antigravity-claude;antigravity-codex"
"exa-search","antigravity-claude","2","antigravity-claude;antigravity-codex"
"executing-plans","current-bundle","4","current-bundle;superpowers;antigravity-claude;antigravity-codex"
"explain-like-socrates","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-api-routes","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-cicd-workflows","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-deployment","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-dev-client","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-tailwind-setup","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-ui-jetpack-compose","antigravity-claude","2","antigravity-claude;antigravity-codex"
"expo-ui-swift-ui","antigravity-claude","2","antigravity-claude;antigravity-codex"
"faf-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
"faf-wizard","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-audio","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-generate","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-image-edit","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-platform","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-upscale","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fal-workflow","antigravity-claude","2","antigravity-claude;antigravity-codex"
"family-health-analyzer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fastapi-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fastapi-router-py","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fastapi-templates","antigravity-claude","2","antigravity-claude;antigravity-codex"
"favicon","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fda-food-safety-auditor","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fda-medtech-compliance-auditor","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ffuf-claude-skill","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ffuf-web-fuzzing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"figma-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"file-organizer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"file-path-traversal","antigravity-claude","2","antigravity-claude;antigravity-codex"
"filesystem-context","antigravity-claude","2","antigravity-claude;antigravity-codex"
"file-uploads","antigravity-claude","2","antigravity-claude;antigravity-codex"
"find-bugs","antigravity-claude","2","antigravity-claude;antigravity-codex"
"finishing-a-development-branch","current-bundle","4","current-bundle;superpowers;antigravity-claude;antigravity-codex"
"firebase","antigravity-claude","2","antigravity-claude;antigravity-codex"
"firecrawl-scraper","antigravity-claude","2","antigravity-claude;antigravity-codex"
"firmware-analyst","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fitness-analyzer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fixing-accessibility","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fixing-metadata","antigravity-claude","2","antigravity-claude;antigravity-codex"
"fixing-motion-performance","antigravity-claude","2","antigravity-claude;antigravity-codex"
