"SkillName","CanonicalSource","VariantCount","AvailableSources"
"hig-platforms","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-project-context","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hig-technologies","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hono","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hosted-agents","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hosted-agents-v2-py","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hr-pro","antigravity-claude","2","antigravity-claude;antigravity-codex"
"html-injection-testing","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hubspot-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hubspot-integration","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-cli","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-community-evals","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-datasets","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-dataset-viewer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-evaluation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-gradio","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-jobs","antigravity-claude","2","antigravity-claude;antigravity-codex"
"hugging-face-model-trainer","antigravity-claude","2","antigravity-claude;antigravity-codex"
